t,hb_cnt,pedal_cnt,resist_pct,hb_bpm
1551494657.760014,0,0,0.03,10.88
1551494658.713155,0,0,0.03,10.88
1551494659.6975508,0,0,0.03,10.88
1551494660.7756572,0,0,0.03,10.88
1551494661.7444308,0,0,0.03,10.88
1551494662.8381822,0,0,0.03,10.88
1551494663.7913024,0,0,0.03,10.88
1551494664.7600508,0,0,0.03,10.88
1551494665.7288089,4,0,0.03,6.05
1551494666.7756798,0,1,0.03,6.05
1551494667.728785,0,2,0.03,6.05
1551494668.775683,2,1,0.03,16.83
1551494669.8381646,0,2,0.03,16.83
1551494670.7912881,1,2,0.03,52.4
1551494671.7600348,3,2,0.03,39.47
1551494672.8538105,6,2,0.03,137.93
1551494673.8693779,2,2,0.03,118.81
1551494674.8694122,2,2,0.03,114.29
1551494675.853754,2,2,0.03,121.21
1551494676.8225036,4,1,0.03,116.5
1551494677.80688,7,2,0.03,300.0
1551494678.8850045,2,2,0.03,112.15
1551494679.8225048,3,1,0.03,85.71
1551494680.8850057,2,2,0.03,123.71
1551494681.8225064,5,1,0.03,112.15
1551494682.8850076,0,2,0.03,112.15
1551494683.869383,0,1,0.03,112.15
1551494684.8225076,0,2,0.03,112.15
1551494685.9006703,1,1,0.03,17.44
1551494686.8538177,4,1,0.03,94.49
1551494687.9475474,9,2,0.03,115.38
1551494688.9162955,7,1,0.03,111.11
1551494689.8694277,7,1,0.03,114.29
1551494690.947569,1,1,0.03,114.29
1551494691.9162998,0,1,0.03,114.29
1551494692.9475722,0,2,0.03,114.29
1551494693.9163039,0,1,0.03,114.29
1551494695.010015,0,1,0.03,114.29
1551494695.9475582,0,1,0.03,114.29
1551494696.9006813,0,1,0.03,114.29
1551494697.9788268,0,1,0.03,114.29
1551494698.931954,0,2,0.03,114.29
1551494699.9944289,0,1,0.03,114.29
1551494700.9475763,0,1,0.03,114.29
1551494701.9944568,0,1,0.03,114.29
1551494702.9788303,0,1,0.03,114.29
1551494703.9163098,0,1,0.03,114.29
1551494704.9944324,0,1,0.03,114.29
1551494705.9319565,0,1,0.03,114.29
1551494706.9788084,0,1,0.03,114.29
1551494708.0569348,0,0,0.03,114.29
1551494709.010071,0,1,0.03,114.29
1551494709.947563,0,0,0.03,114.29
1551494711.0100586,0,1,0.03,114.29
1551494711.963186,0,2,0.03,114.29
1551494713.010063,3,1,0.03,2.65
1551494713.9631948,11,1,0.03,136.36
1551494715.025689,10,2,0.03,187.5
1551494715.9944599,1,2,0.03,181.82
1551494716.9787784,2,2,0.03,272.73
1551494718.0569034,1,2,0.03,96.0
1551494719.0413196,2,1,0.03,89.55
1551494720.0413225,1,2,0.03,131.87
1551494721.010066,2,2,0.03,151.9
1551494722.0881946,1,1,0.03,151.9
1551494723.0100787,1,1,0.03,43.96
1551494724.1038418,0,2,0.03,43.96
1551494725.0725865,2,0,0.03,134.83
1551494726.056942,2,1,0.03,67.8
1551494727.0413208,2,1,0.03,133.33
1551494728.1663072,1,0,0.03,67.42
1551494729.1194768,6,1,0.03,134.83
1551494730.0725696,2,1,0.03,65.22
1551494731.166287,2,1,0.03,127.66
1551494732.1350365,0,1,0.03,127.66
1551494733.1662886,1,1,0.03,31.17
1551494734.1350381,1,1,0.03,60.91
1551494735.1194143,0,1,0.03,60.91
1551494736.1662896,4,1,0.03,240.0
1551494737.181954,0,2,0.03,240.0
1551494738.1507015,0,1,0.03,240.0
1551494739.166331,0,1,0.03,240.0
1551494740.1507015,1,1,0.03,18.18
1551494741.1975784,2,2,0.03,34.88
1551494742.1975803,0,1,0.03,34.88
1551494743.1663315,2,1,0.03,30.53
1551494744.1819556,9,1,0.03,218.18
1551494745.1350958,2,0,0.03,125.0
1551494746.197602,0,1,0.03,125.0
1551494747.1350832,0,1,0.03,125.0
1551494748.135118,1,1,0.03,19.93
1551494749.1662977,0,1,0.03,19.93
1551494750.1975954,0,2,0.03,19.93
1551494751.2132113,2,1,0.03,230.77
1551494752.2132115,2,1,0.03,77.42
1551494753.1975873,3,1,0.03,117.65
1551494754.2132144,1,1,0.03,123.71
1551494755.2600868,1,2,0.03,41.38
1551494756.1819634,0,1,0.03,41.38
1551494757.2132127,1,1,0.03,42.55
1551494758.2444665,1,2,0.03,68.18
1551494759.244463,1,1,0.03,39.34
1551494760.2913032,0,1,0.03,39.34
1551494761.213179,3,2,0.03,151.9
1551494762.2444642,0,1,0.03,151.9
1551494763.2288413,2,1,0.03,65.57
1551494764.275722,0,1,0.03,65.57
1551494765.291346,0,1,0.03,65.57
1551494766.3382354,1,1,0.03,21.9
1551494767.2757232,1,2,0.03,130.43
1551494768.3225582,3,1,0.03,129.03
1551494769.2444704,1,1,0.03,65.22
1551494770.3069706,0,1,0.03,65.22
1551494771.3225994,2,2,0.03,130.43
1551494772.3382237,0,1,0.03,130.43
1551494773.3382242,2,2,0.03,279.07
1551494774.2913492,3,2,0.03,109.09
1551494775.3382096,1,2,0.03,65.22
1551494776.3381877,0,2,0.03,65.22
1551494777.306961,0,1,0.03,65.22
1551494778.3226001,1,2,0.03,26.09
1551494779.3069787,1,1,0.03,32.61
1551494780.3069937,1,2,0.03,133.33
1551494781.4007273,0,1,0.03,133.33
1551494782.3851023,1,1,0.03,33.06
1551494783.3851054,4,1,0.03,285.71
1551494784.338193,1,2,0.03,53.1
1551494785.3538532,1,1,0.03,65.22
1551494786.3382282,1,1,0.03,64.52
1551494787.3538847,2,1,0.03,125.0
1551494788.35382,0,0,0.03,125.0
1551494789.35386,1,0,0.03,30.23
1551494790.3382344,2,0,0.03,118.81
1551494791.431985,2,0,0.03,116.5
1551494792.4163601,2,1,0.03,118.81
1551494793.4007373,2,0,0.03,115.38
1551494794.3694994,2,1,0.03,116.5
1551494795.463237,2,0,0.03,110.09
1551494796.478864,2,1,0.03,115.38
1551494797.4632394,1,1,0.03,113.21
1551494798.4788246,2,0,0.03,112.15
1551494799.478827,2,1,0.03,115.38
1551494800.494452,2,1,0.03,114.29
